YEAR,MONTH,ENGLAND,ATLANTIC,CENTRAL,SOUTH,WEST,RICO,US
1991,10,2955,6279,10280,10615,6855,0,36984
1991,11,2420,4527,7264,7739,5360,0,27310
1991,12,2681,4696,7037,8109,5132,117,27772
1992,1,1738,5237,8682,9089,4809,181,29736
1992,2,1750,4837,8653,9074,5083,43,29440
1992,3,2555,6528,12047,10830,6790,363,39113
1992,4,2795,7918,11481,10994,7328,295,40811
1992,5,2441,6756,11036,11889,7214,232,39568
1992,6,3011,7084,12886,13939,8326,313,45559
1992,7,2815,6898,11874,10877,7533,298,40295
1992,8,3343,5480,11343,11624,7504,215,39509
1992,9,3318,5798,10856,11794,6415,251,38432
1992,10,2367,6245,9601,10054,5275,347,33889
1992,11,1685,4554,8116,7186,5624,364,27529
1992,12,2277,4586,7886,7910,4879,362,27900
1993,1,1625,5258,9179,7020,4533,340,27955
1993,2,1761,4022,9348,8793,5705,319,29948
1993,3,2416,5132,13015,10854,7149,416,38982
1993,4,2403,5887,11540,10005,6443,319,36597
1993,5,2874,6737,13291,10816,7147,279,41144
1993,6,3080,8028,13422,12060,7535,415,44540
1993,7,2712,7564,11618,11464,7258,329,40945
1993,8,2691,6868,11407,10989,7402,596,39953
1993,9,2196,6375,10634,10942,7014,669,37830
1993,10,1452,5664,9348,9082,6637,541,32724
1993,11,1840,5570,8378,7703,6139,573,30203
1993,12,1847,5027,7284,7908,4711,542,27319
1994,1,1075,5028,10507,8294,5479,320,30703
1994,2,1521,5719,11734,8973,6216,122,34285
1994,3,2661,8011,13995,11257,8309,652,44885
1994,4,2198,7060,9707,10157,7115,618,36855
1994,5,2244,7282,13452,11189,8622,770,43559
1994,6,2372,8678,15349,11425,8404,648,46876
1994,7,2312,7282,13579,9545,7586,332,40636
1994,8,2984,8007,14693,9423,7856,537,43500
1994,9,1558,6816,12721,8505,7370,568,37538
1994,10,1523,5290,10572,9157,7444,0,33986
1994,11,1548,5248,9155,8209,7387,0,31547
1994,12,1888,5850,7158,8714,5344,0,28954
1995,1,1340,5489,8744,9153,5927,0,30653
1995,2,1370,5272,8741,8406,6436,0,30225
1995,3,1796,6884,12986,12108,7725,0,41499
1995,4,1840,6094,11020,10715,6920,0,36589
1995,5,2420,8141,14647,12270,8096,0,45574
1995,6,2512,7719,15917,15977,8473,0,50598
1995,7,2565,7034,14074,8251,8574,0,40498
1995,8,2654,7893,15181,11060,7380,0,44168
1995,9,2084,6336,12448,10988,6510,0,38366
1995,10,2106,6025,11479,7619,7415,0,34644
1995,11,2262,4921,9352,7123,5431,0,29089
1995,12,1886,5474,8707,7849,5122,0,29038
1996,1,1812,5149,8487,7510,5532,0,28490
1996,2,2172,5383,10799,8494,5709,0,32557
1996,3,2607,5759,13601,13195,6440,0,41602
1996,4,2733,6668,13349,10478,6821,0,40049
1996,5,3262,7144,14222,13962,7299,0,45889
1996,6,3104,6831,14762,14649,6545,0,45891
1996,7,3335,6830,13766,13381,6858,0,44170
1996,8,3032,6114,12926,11701,6817,0,40590
1996,9,2415,5551,11212,9917,5451,0,34546
1996,10,2400,5987,11466,9084,5294,0,34231
1996,11,1600,4690,8192,8205,4547,0,27234
1996,12,1770,4800,9432,8688,4676,0,29366
1997,1,2126,5783,11299,8868,4698,0,32774
1997,2,2253,5951,9877,9055,5327,0,32463
1997,3,2558,6210,12198,11775,5455,0,38196
1997,4,2613,7316,13321,9937,6422,0,39609
1997,5,2939,6937,13178,11424,6309,0,40787
1997,6,2925,7367,14329,11574,6649,0,42844
1997,7,2967,6800,14773,10261,6322,0,41123
1997,8,2732,5844,13753,10172,4941,0,37442
1997,9,2376,5275,12667,10613,4884,0,35815
1997,10,2405,5412,13226,9678,4689,0,35410
1997,11,1556,5436,9428,9074,3824,0,29318
1997,12,1907,5556,9825,9513,3209,0,30010
1998,1,2333,4682,9798,8507,4501,0,29821
1998,2,2297,4952,11902,10091,4849,0,34091
1998,3,2846,6398,11695,12760,6219,0,39918
1998,4,2919,6322,14232,11280,5945,0,40698
1998,5,2920,6112,13863,11590,5797,0,40282
1998,6,3180,5857,14905,13978,6996,0,44916
1998,7,3076,5472,14850,10483,6655,0,40536
1998,8,2936,5463,14570,9118,5878,0,37965
1998,9,2603,5931,13654,9161,5541,0,36890
1998,10,1597,5446,11603,9382,4442,0,32470
1998,11,1309,5186,8674,10056,4036,0,29261
1998,12,2800,5877,8385,9988,3822,0,30872
1999,1,2194,2199,9570,8976,3983,0,26922
1999,2,2424,4571,11350,11100,4846,0,34291
1999,3,2904,5984,16799,14152,6368,0,46207
1999,4,3505,6040,15503,15135,6397,0,46580
1999,5,3147,6663,16302,15435,6336,0,47883
1999,6,3008,6792,15819,13822,7282,0,46723
1999,7,2671,5685,16277,12757,6902,0,44292
1999,8,2893,5555,15260,12929,7267,0,43904
1999,9,2212,5589,16236,13737,5969,0,43743
1999,10,1923,5137,12636,13268,5798,0,38762
1999,11,2116,5943,15236,13619,5325,0,42239
1999,12,2417,4823,13422,12685,4252,0,37599
2000,1,1935,3901,14561,10753,4649,0,35799
2000,2,2687,4309,17057,12907,5729,0,42689
2000,3,3142,4831,14625,15402,6683,0,44683
2000,4,2777,5046,13214,13340,6811,0,41188
2000,5,3411,5562,13738,14006,7064,0,43781
2000,6,3352,5750,14491,15004,7790,0,46387
2000,7,2929,4513,12260,13659,6938,0,40299
2000,8,3173,5163,13106,14535,7847,0,43824
2000,9,2834,4755,14035,13198,6463,0,41285
2000,10,3011,5603,11995,14903,6662,0,42174
2000,11,2657,4773,14938,12384,5779,0,40531
2000,12,2461,3914,12892,11721,5491,0,36479
2001,1,2626,3948,16228,11160,5631,0,39593
2001,2,2256,3572,12429,10587,5610,0,34454
2001,3,2661,5734,16155,13250,6836,0,44636
2001,4,3172,5735,16376,12058,6582,0,43923
2001,5,2546,6173,17065,12308,6640,0,44732
2001,6,2055,5367,17795,12590,6329,0,44136
2001,7,2618,5789,16920,10650,6889,0,42866
2001,8,2402,6097,16678,11755,6741,0,43673
2001,9,2772,5449,10753,9924,5409,0,34307
2001,10,2255,5545,12421,12953,6564,0,39738
2001,11,2632,6412,15239,10494,5747,0,40524
2001,12,2212,4769,11005,9474,4650,0,32110
2002,1,2606,6279,12956,11347,5383,0,38571
2002,2,2646,5227,12633,10524,5532,0,36562
2002,3,2788,6105,15076,12606,6019,0,42594
2002,4,2480,6301,16705,12861,6579,0,44926
2002,5,2974,6232,17371,13463,6748,0,46788
2002,6,3344,7234,16579,15658,6091,0,48906
2002,7,2677,6987,17794,13277,6012,0,46747
2002,8,2876,7419,19389,13789,5693,0,49166
2002,9,3425,11189,16195,15594,5437,0,51840
2002,10,2518,5813,16923,11786,5840,0,42880
2002,11,2698,5201,14983,12728,5348,0,40958
2002,12,2551,5392,14666,12864,4283,0,39756
2003,1,2071,5774,13511,10492,6052,0,37900
2003,2,2293,6108,15751,10799,6193,0,41144
2003,3,2974,7107,16648,13007,7013,0,46749
2003,4,2442,6001,16056,12434,7248,0,44181
2003,5,2419,6292,16767,11828,7442,0,44748
2003,6,3222,9009,18800,14432,7674,0,53137
2003,7,3694,6365,17940,12308,7426,0,47733
2003,8,4731,7344,19591,13126,6638,0,51430
2003,9,3437,6480,19673,11698,6190,0,47478
2003,10,2910,6199,7556,12206,7664,0,36535
2003,11,4841,7611,9099,13391,7269,0,42211
2003,12,4253,6519,12489,11233,6528,0,41022
2004,1,2217,5248,16574,10876,6572,0,41487
2004,2,2559,6024,18138,12695,7768,0,47184
2004,3,2370,6286,19407,13002,9448,0,50513
2004,4,2726,6067,19985,12541,9254,0,50573
2004,5,3460,7186,20712,13528,8462,0,53348
2004,6,4143,7618,22226,13899,9713,0,57599
2004,7,3675,7323,21486,13150,9076,0,54710
2004,8,2971,7261,20948,15073,8923,0,55176
2004,9,2970,5872,17114,13105,8557,0,47618
2004,10,4003,7609,17315,16069,9743,0,54739
2004,11,3721,6579,13187,13442,10179,0,47108
2004,12,3262,5511,13283,13631,7685,0,43372
2005,1,2579,5065,14767,13268,7837,0,43516
2005,2,2397,5412,14045,12933,7949,0,42736
2005,3,4197,6318,16579,15219,10194,0,52507
2005,4,3745,5884,17237,14777,8949,0,50592
2005,5,4136,5819,15480,14954,9768,0,50157
2005,6,4392,6430,19908,16000,10839,0,57569
2005,7,4657,5587,16526,15077,10424,0,52271
2005,8,4850,6052,17494,16479,10417,0,55292
2005,9,3539,3998,14204,13175,9770,0,44686
2005,10,4402,4817,15725,14777,10511,0,50232
2005,11,2515,4742,12922,13742,10281,0,44202
2005,12,3411,4303,13345,12714,9276,0,43049
2006,1,2652,4388,16061,10620,9145,0,42866
2006,2,2800,3960,14412,11731,7644,0,40547
2006,3,3410,4982,17190,14318,9476,0,49376
2006,4,3502,4783,15332,12093,9834,0,45544
2006,5,4115,5393,16299,14812,9677,0,50296
2006,6,3757,5945,16525,14388,9785,0,50400
2006,7,3161,5410,15684,13724,9868,0,47847
2006,8,3856,6100,17205,14701,8830,0,50692
2006,9,3062,4923,15090,12393,7547,0,43015
2006,10,3608,5483,14557,14112,9534,0,47294
2006,11,3576,4952,13787,15153,9119,0,46587
2006,12,3691,4953,10328,13280,6773,0,39025
2007,1,2811,5298,14490,13705,8824,0,45128
2007,2,2404,4487,12252,12996,8601,0,40740
2007,3,3271,6220,15453,15452,10041,0,50437
2007,4,3359,6073,15776,14852,11719,0,51779
2007,5,4218,6949,17906,16285,11326,0,56684
2007,6,3812,6573,17851,16571,10211,0,55018
2007,7,3362,6273,17314,14940,10121,0,52010
2007,8,3578,7034,16850,16959,11173,0,55594
2007,9,3333,5376,14716,15109,9604,0,48138
2007,10,3309,5823,17276,15492,13979,0,55879
2007,11,3435,6501,13220,16327,14309,0,53792
2007,12,2786,5192,10814,14627,10157,0,43576
2008,1,3180,5118,14861,13534,8778,0,45471
2008,2,3431,5350,13967,14616,9236,0,46600
2008,3,3809,5954,16903,16205,10661,0,53532
2008,4,3589,5801,16800,15435,9890,0,51515
2008,5,3972,6250,17437,16100,10831,0,54590
2008,6,3918,6063,16958,16926,11142,0,55007
2008,7,4238,6610,18031,19188,11154,0,59221
2008,8,3157,7017,17572,17579,8999,0,54324
2008,9,4037,5937,16171,17555,11084,0,54784
2008,10,3943,6296,16599,18273,6608,0,51719
2008,11,3094,5151,12937,14849,7519,0,43550
2008,12,2802,4770,13046,13782,6843,0,41243
2009,1,2724,4667,13534,13265,7391,0,41581
2009,2,2665,4413,13535,12918,6346,0,39877
2009,3,3219,5246,17334,15405,8110,0,49314
2009,4,3072,5356,16091,14306,10669,0,49494
2009,5,3213,5703,17458,15220,10217,0,51811
2009,6,3429,5995,18232,15250,10816,0,53722
2009,7,3404,6201,17956,15057,9338,0,51956
2009,8,3559,6181,16680,16018,8295,0,50733
2009,9,3529,5643,14055,15345,11040,0,49612
2009,10,3619,5670,15986,19126,11299,0,55700
2009,11,3298,5219,12504,17675,9202,0,47898
2009,12,2813,4642,12979,16241,8384,0,45059
2010,1,2627,4282,14487,13451,7820,0,42667
2010,2,2851,4494,16197,15918,8027,0,47487
2010,3,3537,5508,18687,18956,10363,0,57051
2010,4,3209,5358,18248,17540,6254,0,50609
2010,5,3314,5567,17958,18111,6134,0,51084
2010,6,3970,6799,17143,19336,5669,0,52917
2010,7,3556,6597,15963,16509,11266,0,53891
2010,8,3739,6818,14122,17482,6274,0,48435
2010,9,3590,6430,12984,16503,7153,0,46660
2010,10,3432,6033,13049,15997,6746,0,45257
2010,11,3243,5699,12011,15552,7409,0,43914
2010,12,3226,5120,12385,14446,7955,0,43132
2011,1,3353,5680,13751,14483,9637,0,46904
2011,2,3649,5344,13841,13199,9993,0,46026
2011,3,5167,6457,16297,17196,11213,0,56330
2011,4,4441,6304,15433,15596,10530,0,52304
2011,5,4522,6290,16153,15144,11040,0,53149
2011,6,4845,6630,15614,16262,11461,0,54812
2011,7,4853,6488,14649,16592,10322,0,52904
2011,8,4938,6334,16527,18159,11540,0,57498
2011,9,4843,6223,16019,16264,10290,0,53639
2011,10,4430,6389,13635,17132,11541,0,53127
2011,11,4319,6320,11391,16682,9621,0,48333
2011,12,3840,5768,12633,16977,7745,0,46963
2012,1,3902,5447,14176,17654,10283,0,51462
2012,2,4307,5722,15119,16955,12013,0,54116
2012,3,5090,7130,16983,20015,12377,0,61595
2012,4,4455,6227,15282,17289,12279,0,55532
2012,5,5011,7594,17466,20467,12808,0,63346
2012,6,5175,6681,16131,18365,11657,0,58009
2012,7,5185,6721,14897,19615,11690,0,58108
2012,8,5128,7193,16261,20638,12557,0,61777
2012,9,4253,6154,14585,16299,10685,0,51976
2012,10,4756,6423,14909,19128,13762,0,58978
2012,11,4768,6553,11842,17690,12091,0,52944
2012,12,3596,5435,11121,15886,9782,0,45820
2013,1,4155,6050,15360,19007,10986,0,55558
2013,2,3237,5516,15108,15957,10843,0,50661
2013,3,3991,6300,15821,17914,12014,0,56040
2013,4,4056,6862,16226,20651,11667,0,59462
2013,5,4522,7737,16767,19479,12662,0,61167
2013,6,4389,6289,17550,18175,11317,0,57720
2013,7,4559,7775,16962,19903,10693,0,59892
2013,8,4749,7155,14560,18695,12232,0,57391
2013,9,4397,6851,13917,17184,11773,0,54122
2013,10,4938,6930,14801,19546,12632,0,58847
2013,11,4496,6709,12634,20679,10583,0,55101
2013,12,3975,6338,12272,20101,9437,0,52123
2014,1,3968,6461,15211,21161,11377,0,58178
2014,2,4395,8325,14912,21031,11902,0,60565
2014,3,5070,8401,16980,24517,13009,0,67977
2014,4,5254,8645,17747,23362,12588,0,67596
2014,5,5805,8312,18380,21476,10809,0,64782
2014,6,5428,8375,16439,20751,11934,0,62927
2014,7,5110,7998,16523,22504,11427,0,63562
2014,8,5492,8802,14103,23344,10017,0,61758
2014,9,5580,9242,14010,25566,11791,0,66189
,,,,,,,,